date,open,high,close,low,volume,amount
2009-10-28,4750.51,4804.137,4804.137,4715.661,597662144,10070721536
2009-10-29,4750.206,4779.269,4745.378,4717.001,592240832,10592335872
2009-10-30,4805.029,4843.548,4792.9259999999995,4771.045999999999,612468352,11493684224
2009-11-02,4710.759,4958.509,4958.509,4674.816,756054912,13974641664
2009-11-03,4978.670999999999,5072.146,5054.334,4976.1990000000005,887465536,16459333632
2009-11-04,5069.709,5112.366,5103.61,5056.414000000001,889874880,16259934208
2009-11-05,5114.997,5132.92,5121.973,5066.569,778011712,13812767744
2009-11-06,5138.142,5172.427,5131.404,5118.186,877499008,15963353088
2009-11-09,5140.024,5160.213,5154.363,5098.630999999999,722913792,13611469824
2009-11-10,5178.784000000001,5190.585999999999,5157.604,5154.517,669126208,12584320000
2009-11-11,5149.983,5183.473,5169.766,5121.419,619792384,10529657856
2009-11-12,5182.311,5258.423000000001,5226.878,5182.311,719499968,12605306880
2009-11-13,5211.457,5322.96,5322.96,5193.497,755854848,13600662528
2009-11-16,5362.933000000001,5435.724,5422.991999999999,5362.933000000001,977573440,18137174016
2009-11-17,5430.857,5458.1759999999995,5431.25,5381.387,744028544,13965650944
2009-11-18,5432.285,5457.765,5444.793000000001,5398.701,724956096,13398298624
2009-11-19,5456.844,5520.298000000001,5519.665,5446.235,804763136,15057383424
2009-11-20,5507.953,5569.105,5521.601,5475.57,815541056,14654991360
2009-11-23,5526.128000000001,5617.974,5617.974,5501.419,785197952,14960468992
2009-11-24,5638.374,5657.819,5342.975,5310.844,1178877440,22395779072
2009-11-25,5329.6230000000005,5517.931,5512.404,5295.981,893690304,16986418176
2009-11-26,5511.981,5522.084,5262.991,5241.009,1012934784,18981300224
2009-11-27,5201.267,5319.581,5174.463,5142.404,728292608,13666164736
2009-11-30,5213.405,5408.312,5408.312,5213.405,697811392,13164866560
2009-12-01,5422.597,5540.767,5537.382,5410.645,848549056,15515623424
2009-12-02,5563.342,5596.795,5589.203,5541.809,905517632,16553435136
2009-12-03,5589.214,5612.12,5610.794,5542.986,745024384,14315992064
2009-12-04,5605.799,5636.003000000001,5503.973000000001,5374.844,939022080,17486680064
2009-12-07,5501.358,5604.479,5595.619000000001,5496.994000000001,630153984,12014208000
2009-12-08,5604.014,5619.774,5570.411,5524.979,654053568,11424452608
2009-12-09,5516.025,5576.5109999999995,5485.842,5465.505999999999,508283744,9281305600
